damper,wash_intensity,epochs,burn,lineage_recall,total_mint,honest_mint,wash_mint,seo_mint,honest_share,wash_share,wash_cost,wash_net,wash_roi,honest_burn,gini_all,gini_honest
,0.5,,0.02,,171.841167,149.966989,17.840791,4.033387,0.872078,0.104225,2.32,15.520791,7.749274,2.928,0.417778,0.172353
,1.0,,0.02,,172.693379,147.969129,21.302917,3.421333,0.855258,0.124721,4.244,17.058917,5.160058,2.788,0.408642,0.183066
,2.0,,0.02,,175.393103,145.899909,25.852139,3.641055,0.831248,0.14791,9.196,16.656139,2.857671,2.82,0.37948,0.169221
,4.0,,0.02,,184.03437,151.086399,29.550194,3.397776,0.819988,0.161234,17.4,12.150194,1.735429,2.976,0.361704,0.176958
,0.5,,0.05,,168.776184,147.069812,18.007781,3.698592,0.870088,0.107522,6.05,11.957781,2.997061,7.17,0.416173,0.17118
,1.0,,0.05,,183.273755,158.038551,21.583725,3.651479,0.862295,0.117789,11.07,10.513725,1.965542,7.18,0.411303,0.174339
,2.0,,0.05,,184.763652,155.194726,26.309779,3.259147,0.838923,0.143385,24.36,1.949779,1.08851,6.92,0.372743,0.149221
,4.0,,0.05,,167.609521,133.657291,30.162121,3.790108,0.794718,0.182195,47.89,-17.727879,0.634675,6.36,0.35086,0.181336
,0.5,,0.1,,166.002009,144.508489,17.899578,3.593942,0.869718,0.108369,11.62,6.279578,1.547026,14.02,0.404707,0.159996
,1.0,,0.1,,177.425791,151.528097,22.199102,3.698592,0.853612,0.12551,24.4,-2.200898,0.918563,13.76,0.40431,0.177783
,2.0,,0.1,,164.762595,134.727515,25.88662,4.14846,0.815955,0.158557,46.78,-20.89338,0.554747,13.74,0.378691,0.188796
,4.0,,0.1,,184.525613,149.716958,30.613081,4.195573,0.810939,0.166244,101.64,-71.026919,0.303288,14.06,0.371602,0.181543
,0.5,,0.15,,167.610802,145.848797,17.786155,3.975851,0.86961,0.106546,17.22,0.566155,1.040791,20.76,0.414599,0.170571
,1.0,,0.15,,168.744481,143.245972,21.130326,4.368182,0.848245,0.125719,30.87,-9.739674,0.687509,19.65,0.404597,0.181676
,2.0,,0.15,,171.538052,142.107777,25.812776,3.617499,0.828382,0.150581,68.58,-42.767224,0.377449,20.7,0.374529,0.175817
,4.0,,0.15,,180.09498,145.616127,30.168207,4.310646,0.807488,0.168471,144.42,-114.251793,0.213451,20.67,0.359255,0.162006
,0.5,,0.2,,161.581017,140.486761,18.112368,2.981888,0.868183,0.113595,24.12,-6.007632,0.755886,28.68,0.395244,0.152511
,1.0,,0.2,,175.517974,149.937784,22.124878,3.455313,0.853085,0.126991,48.84,-26.715122,0.456491,27.48,0.390685,0.160599
,2.0,,0.2,,186.099328,156.443014,25.70402,3.952294,0.840238,0.138432,91.48,-65.77598,0.282205,28.36,0.397491,0.177286
,4.0,,0.2,,186.221021,152.594211,30.066847,3.559962,0.819253,0.161663,187.04,-156.973153,0.162208,28.72,0.389168,0.200269
,0.5,,0.3,,175.426896,153.423012,17.784753,4.21913,0.87376,0.102012,34.74,-16.955247,0.514183,42.72,0.429557,0.183346
,1.0,,0.3,,170.323058,145.330226,21.155612,3.837221,0.852987,0.124617,62.16,-41.004388,0.3425,40.62,0.389286,0.148286
,2.0,,0.3,,187.61177,158.113536,26.076901,3.421333,0.84188,0.139755,143.76,-117.683099,0.183763,43.14,0.379425,0.157352
,4.0,,0.3,,178.535793,144.805493,29.477191,4.25311,0.810372,0.165723,253.32,-223.842809,0.117092,42.42,0.376308,0.194103
,0.5,,0.5,,178.183616,156.623835,17.68858,3.871201,0.878587,0.09963,56.6,-38.91142,0.314814,75.6,0.413418,0.149772
,1.0,,0.5,,168.567478,142.649858,22.276564,3.641055,0.845348,0.132746,124.6,-102.323436,0.179582,70.9,0.394399,0.173657
,2.0,,0.5,,183.868846,154.830283,25.836953,3.20161,0.841158,0.141569,230.6,-204.763047,0.112312,68.7,0.374911,0.148162
,4.0,,0.5,,180.246558,146.36298,29.769098,4.11448,0.810543,0.166454,450.4,-420.630902,0.066829,69.9,0.356469,0.148209
