damper,wash_intensity,epochs,burn,lineage_recall,total_mint,honest_mint,wash_mint,seo_mint,honest_share,wash_share,wash_cost,wash_net,wash_roi,honest_burn,gini_all,gini_honest
out_of_lineage,,,,1.0,149.328218,144.936479,0.0,4.391739,0.970461,0.0,0.0,0.0,nan,0.0,0.339428,0.162604
out_of_lineage,,,,0.9,152.226575,142.117638,5.9709,4.138037,0.932755,0.039056,0.0,5.9709,nan,0.0,0.364536,0.162797
out_of_lineage,,,,0.75,165.428766,147.826176,13.234408,4.368182,0.892943,0.08078,0.0,13.234408,nan,0.0,0.398492,0.175229
out_of_lineage,,,,0.5,176.173277,155.061682,17.321486,3.790108,0.88031,0.098085,0.0,17.321486,nan,0.0,0.395117,0.17672
out_of_lineage,,,,0.25,167.134212,139.46885,23.354715,4.310646,0.832692,0.140915,0.0,23.354715,nan,0.0,0.376985,0.149736
out_of_lineage,,,,0.0,169.063064,139.26422,26.008736,3.790108,0.823027,0.154409,0.0,26.008736,nan,0.0,0.383113,0.182521
combo,,,,1.0,119.899924,117.198092,0.0,2.701832,0.977394,0.0,0.0,0.0,nan,0.0,0.345794,0.172286
combo,,,,0.9,118.962251,114.539894,1.600508,2.821849,0.963126,0.012818,0.0,1.600508,nan,0.0,0.382479,0.193281
combo,,,,0.75,128.167102,119.048596,6.39098,2.727525,0.92749,0.051075,0.0,6.39098,nan,0.0,0.4249,0.165918
combo,,,,0.5,126.303506,115.127264,8.577529,2.598713,0.911527,0.067921,0.0,8.577529,nan,0.0,0.421808,0.166675
combo,,,,0.25,128.490068,113.151467,12.665007,2.673594,0.880566,0.098642,0.0,12.665007,nan,0.0,0.413571,0.164747
combo,,,,0.0,137.23745,120.221969,14.096371,2.91911,0.875792,0.102869,0.0,14.096371,nan,0.0,0.415074,0.158644
