damper,wash_intensity,epochs,burn,lineage_recall,total_mint,honest_mint,wash_mint,seo_mint,honest_share,wash_share,wash_cost,wash_net,wash_roi,honest_burn,gini_all,gini_honest
baseline,0.5,1,0.05,1.0,160.559324,140.278493,16.004165,4.276666,0.873686,0.099678,0.0,16.004165,nan,0.0,0.436749,0.199759
baseline,0.5,5,0.05,1.0,169.97157,147.317542,18.251866,4.402162,0.866627,0.107443,0.0,18.251866,nan,0.0,0.420555,0.179207
baseline,1.0,1,0.05,1.0,181.776775,157.810729,21.075674,2.890372,0.868157,0.115943,0.0,21.075674,nan,0.0,0.392596,0.165612
baseline,1.0,5,0.05,1.0,182.173178,156.221098,22.104435,3.847644,0.856677,0.12195,0.0,22.104435,nan,0.0,0.383125,0.138451
baseline,2.0,1,0.05,1.0,174.589836,143.741306,26.689646,4.158883,0.823309,0.152871,0.0,26.689646,nan,0.0,0.389556,0.196767
baseline,2.0,5,0.05,1.0,180.904656,150.660389,26.025137,4.21913,0.831675,0.145072,0.0,26.025137,nan,0.0,0.381676,0.175226
baseline,4.0,1,0.05,1.0,187.508363,152.714757,30.229258,4.564348,0.814442,0.161216,0.0,30.229258,nan,0.0,0.35066,0.129159
baseline,4.0,5,0.05,1.0,173.688269,140.176337,30.357435,3.154497,0.806748,0.175093,0.0,30.357435,nan,0.0,0.362123,0.177392
out_of_lineage,0.5,1,0.05,1.0,149.870406,145.711523,0.0,4.158883,0.97225,0.0,0.0,0.0,nan,0.0,0.355637,0.18134
out_of_lineage,0.5,5,0.05,1.0,156.093511,152.141217,0.0,3.952294,0.974433,0.0,0.0,0.0,nan,0.0,0.324517,0.147123
out_of_lineage,1.0,1,0.05,1.0,158.979868,155.514132,0.0,3.465736,0.9782,0.0,0.0,0.0,nan,0.0,0.370214,0.192457
out_of_lineage,1.0,5,0.05,1.0,153.9318,149.67869,0.0,4.25311,0.972333,0.0,0.0,0.0,nan,0.0,0.346366,0.169193
out_of_lineage,2.0,1,0.05,1.0,147.15655,142.997667,0.0,4.158883,0.971738,0.0,0.0,0.0,nan,0.0,0.336448,0.155779
out_of_lineage,2.0,5,0.05,1.0,150.509716,146.036884,0.0,4.472832,0.970097,0.0,0.0,0.0,nan,0.0,0.333695,0.155263
out_of_lineage,4.0,1,0.05,1.0,144.297536,140.02087,0.0,4.276666,0.970362,0.0,0.0,0.0,nan,0.0,0.325672,0.143464
out_of_lineage,4.0,5,0.05,1.0,154.676021,151.244265,0.0,3.431756,0.977667,0.0,0.0,0.0,nan,0.0,0.324956,0.155552
diversity_sqrt,0.5,1,0.05,1.0,145.743911,131.917149,10.87717,2.949592,0.90513,0.074632,0.0,10.87717,nan,0.0,0.450112,0.164797
diversity_sqrt,0.5,5,0.05,1.0,133.592114,119.592725,11.422875,2.576514,0.895195,0.085625,0.0,11.422875,nan,0.0,0.438556,0.178605
diversity_sqrt,1.0,1,0.05,1.0,117.007422,101.431407,13.438407,2.137607,0.86688,0.114851,0.0,13.438407,nan,0.0,0.376342,0.137251
diversity_sqrt,1.0,5,0.05,1.0,130.255158,114.452449,12.921236,2.881474,0.878642,0.099215,0.0,12.921236,nan,0.0,0.422758,0.15843
diversity_sqrt,2.0,1,0.05,1.0,128.026251,111.814493,13.204409,3.007349,0.873372,0.103138,0.0,13.204409,nan,0.0,0.425644,0.177851
diversity_sqrt,2.0,5,0.05,1.0,137.241906,119.947526,14.466837,2.827542,0.872969,0.106353,0.0,14.466837,nan,0.0,0.410101,0.152874
diversity_sqrt,4.0,1,0.05,1.0,135.655289,118.025969,14.621972,3.007349,0.870043,0.107788,0.0,14.621972,nan,0.0,0.417116,0.162008
diversity_sqrt,4.0,5,0.05,1.0,135.160699,117.466936,15.041118,2.652645,0.867732,0.112371,0.0,15.041118,nan,0.0,0.420275,0.171858
diversity_pow,0.5,1,0.05,1.0,162.192881,148.663961,11.079411,2.449509,0.916587,0.06831,0.0,11.079411,nan,0.0,0.431964,0.102804
diversity_pow,0.5,5,0.05,1.0,140.102564,126.359283,11.156046,2.587235,0.901484,0.080074,0.0,11.156046,nan,0.0,0.442972,0.176228
diversity_pow,1.0,1,0.05,1.0,148.609973,133.480972,12.679493,2.449509,0.898197,0.085321,0.0,12.679493,nan,0.0,0.460099,0.19446
diversity_pow,1.0,5,0.05,1.0,150.36639,135.713637,12.086599,2.566154,0.901962,0.080766,0.0,12.086599,nan,0.0,0.432493,0.151737
diversity_pow,2.0,1,0.05,1.0,152.272386,135.59001,13.803493,2.878883,0.890444,0.09065,0.0,13.803493,nan,0.0,0.439091,0.168548
diversity_pow,2.0,5,0.05,1.0,146.877508,131.012519,13.065844,2.799146,0.891805,0.089123,0.0,13.065844,nan,0.0,0.43415,0.155732
diversity_pow,4.0,1,0.05,1.0,139.715765,123.579216,13.815506,2.321043,0.884504,0.098883,0.0,13.815506,nan,0.0,0.413448,0.123583
diversity_pow,4.0,5,0.05,1.0,149.844034,132.306197,14.246325,3.291512,0.882497,0.095481,0.0,14.246325,nan,0.0,0.4339,0.175064
burn,0.5,1,0.05,1.0,186.138454,164.055517,18.499418,3.583519,0.881363,0.099385,6.35,12.149418,2.913294,7.85,0.436317,0.179565
burn,0.5,5,0.05,1.0,167.283286,145.189413,17.840763,4.25311,0.866346,0.107821,5.79,12.050763,3.097034,7.5,0.407173,0.163284
burn,1.0,1,0.05,1.0,174.14963,149.73166,20.546768,3.871201,0.859787,0.117983,9.55,10.996768,2.151494,6.5,0.389336,0.121799
burn,1.0,5,0.05,1.0,167.871779,142.306835,21.774835,3.790108,0.846318,0.130716,11.6,10.174835,1.889945,6.93,0.400545,0.173266
burn,2.0,1,0.05,1.0,162.844013,133.442831,25.935446,3.465736,0.819452,0.159266,22.7,3.235446,1.142531,7.0,0.374046,0.168517
burn,2.0,5,0.05,1.0,173.450498,143.098375,26.237643,4.11448,0.824377,0.151908,24.59,1.647643,1.082463,7.01,0.385133,0.185354
burn,4.0,1,0.05,1.0,190.531385,158.201102,28.746765,3.583519,0.830315,0.150877,36.5,-7.753235,0.787583,7.3,0.403767,0.210394
burn,4.0,5,0.05,1.0,182.375403,147.965949,30.237437,4.172016,0.810734,0.166245,47.97,-17.732563,0.640431,7.07,0.366513,0.17159
combo,0.5,1,0.05,1.0,117.279996,114.330405,0.0,2.949592,0.97485,0.0,0.0,0.0,nan,0.0,0.333439,0.147177
combo,0.5,5,0.05,1.0,118.585586,115.995322,0.0,2.590264,0.978097,0.0,0.0,0.0,nan,0.0,0.354236,0.182266
combo,1.0,1,0.05,1.0,125.111519,122.973911,0.0,2.137607,0.982914,0.0,0.0,0.0,nan,0.0,0.340806,0.20033
combo,1.0,5,0.05,1.0,124.757003,122.226137,0.0,2.530866,0.979267,0.0,0.0,0.0,nan,0.0,0.330551,0.172035
combo,2.0,1,0.05,1.0,117.348531,114.684335,0.0,2.664196,0.977297,0.0,0.0,0.0,nan,0.0,0.351802,0.16896
combo,2.0,5,0.05,1.0,122.424561,119.50015,0.0,2.924411,0.975831,0.0,0.0,0.0,nan,0.0,0.353103,0.173126
combo,4.0,1,0.05,1.0,115.681167,112.888506,0.0,2.792661,0.975859,0.0,0.0,0.0,nan,0.0,0.3693,0.194973
combo,4.0,5,0.05,1.0,131.340042,128.91472,0.0,2.425322,0.981388,0.0,0.0,0.0,nan,0.0,0.33361,0.17236
